Reseller Price,API Code
2.95,WPPS
9.95,Certificate-Comodo-Essential
29,Certificate-Comodo-Instant
79,Certificate-Comodo-Essential-Wildcard
185,Certificate-Comodo-Premium-Wildcard
119,Certificate-Comodo-EV
119,Certificate-Comodo-EV-SGC
44.95,Certificate-GeoTrust-QuickSSL
49.95,Certificate-GeoTrust-QuickSSL-Premium
87.95,Certificate-GeoTrust-TrueBizID
249.95,Certificate-GeoTrust-TrueBizID-Wildcard
138.95,Certificate-GeoTrust-TrueBizID-EV
8.95,Certificate-RapidSSL-RapidSSL
90,Certificate-RapidSSL-RapidSSL-Wildcard
350,Certificate-VeriSign-Secure-Site
700,Certificate-VeriSign-Secure-Site-Pro
750,Certificate-VeriSign-Secure-Site-EV
1000,Certificate-VeriSign-Secure-Site-Pro-EV
10,WBL