TLD,Reseller Price,Retail Price
com,11.25,12.55
net,12.95,14.33
org,12.95,14.33
me,17.95,19.48
us,9.95,11.24
info,18.95,20.52
mobi,21.45,23.09
la,50.00,52.53
asia,15.95,17.42
biz,16.95,18.45
com.tw,27.95,29.79
tw,27.95,29.79
org.tw,27.95,29.79
idv.tw,27.95,29.79
ca,15.95,17.42
eu,10.45,11.75
cn,25.95,27.73
name,15.45,16.91
cc,17.95,19.48
ac,69.95,73.09
io,42.95,45.26
sh,63.95,66.91
tv,47.95,50.41
bz,27.95,29.79
nu,28.95,30.82
ws,28.95,30.82
com.cn,26.95,28.76
net.cn,26.95,28.76
org.cn,26.95,28.76
de,8.45,9.69
be,12.95,14.33
tc,84.95,88.56
vg,59.95,62.78
ms,43.95,46.29
cm,119.95,124.64
gs,43.95,46.29
jp,58.95,61.75
net.nz,38.95,41.13
co.nz,38.95,41.13
org.nz,38.95,41.13
br.com,54.95,57.63
cn.com,54.95,57.63
eu.com,27.95,29.79
uk.com,54.95,57.63
uk.net,59.95,62.78
us.com,27.95,29.79
uy.com,54.95,57.63
hu.com,54.95,57.63
no.com,54.95,57.63
qc.com,54.95,57.63
ru.com,54.95,57.63
sa.com,54.95,57.63
se.com,54.95,57.63
se.net,59.95,62.78
za.com,53.95,56.60
de.com,27.95,29.79
in,16.95,18.45
at,21.95,23.61
am,108.95,113.30
nl,8.45,9.69
it,17.95,19.48
fm,102.95,107.11
co.uk,7.95,9.18
org.uk,7.95,9.18
me.uk,7.95,9.18
tel,12.95,14.33
com.de,11.95,13.30
gr.com,22.95,24.64
us.org,22.95,24.64
xxx,88.00,91.70
pro,21.95,23.61
ngo,18.00,19.54
ong,18.00,19.54
us,9.95,11.24
bible,44.95,47.32
uk,7.60,8.81
blog,24.00,25.72
tm,104.95,109.18
com.mx,52.95,55.57
jpn.com,52.95,55.57
co.com,26.95,28.76
ar.com,52.95,55.57
pw,27.95,29.79
radio.am,13.95,15.36
radio.fm,13.95,15.36
com.co,15.95,17.42
nom.co,15.95,17.42
net.co,15.95,17.42
aaa.pro,149.00,154.59
aca.pro,149.00,154.59
acct.pro,149.00,154.59
eng.pro,149.00,154.59
avocat.pro,149.00,154.59
jur.pro,149.00,154.59
recht.pro,149.00,154.59
law.pro,149.00,154.59
med.pro,149.00,154.59
cpa.pro,149.00,154.59
pe,49.95,52.47
com.pe,49.95,52.47
net.pe,49.95,52.47
nom.pe,49.95,52.47
es,22.00,23.66
com.es,7.95,9.18
nom.es,7.95,9.18
org.es,7.95,9.18
com.au,16.95,18.45
net.au,16.95,18.45
org.au,12.95,14.33
sg,32.95,34.95
com.sg,32.95,34.95
ch,17.95,19.48
li,17.95,19.48
fr,10.95,12.27
ninja,18.95,20.52
abogado,39.95,42.16
academy,26.45,28.25
accountant,23.45,25.15
accountants,75.45,78.76
actor,32.45,34.43
agency,19.45,21.03
airforce,26.45,28.25
apartments,43.45,45.77
app,17.95,19.48
archi,64.95,67.94
army,26.45,28.25
art,11.95,13.30
associates,26.45,28.25
attorney,43.45,45.77
auction,26.45,28.25
audio,135.45,140.62
auto,2350.00,2423.66
baby,65.00,67.99
band,19.95,21.55
barcelona,65.95,68.97
bargains,25.95,27.73
bayern,44.95,47.32
beauty,18.95,20.52
beer,23.45,25.15
berlin,69.95,73.09
best,21.95,23.61
bet,17.95,19.48
bid,23.45,25.15
bike,26.45,28.25
bingo,43.45,45.77
bio,61.95,64.85
black,49.45,51.96
blackfriday,135.45,140.62
nyc,27.95,29.79
okinawa,14.45,15.88
one,8.95,10.21
blue,17.95,19.48
boston,17.95,19.48
boutique,26.45,28.25
build,55.45,58.14
builders,26.45,28.25
business,14.95,16.39
buzz,28.45,30.31
cab,26.45,28.25
cafe,26.45,28.25
cam,26.45,28.25
camera,43.45,45.77
camp,43.95,46.29
capital,43.95,46.29
car,2350.00,2423.66
cards,26.45,28.25
care,26.45,28.25
careers,43.45,45.77
cars,2350.00,2423.66
casa,19.95,21.55
cash,26.45,28.25
casino,114.00,118.51
catering,26.45,28.25
center,17.45,18.97
ceo,75.45,78.76
charity,33.95,35.98
chat,26.45,28.25
cheap,25.95,27.73
christmas,46.45,48.87
church,28.45,30.31
city,17.45,18.97
claims,42.95,45.26
cleaning,43.45,45.77
click,11.45,12.78
clinic,43.45,45.77
clothing,26.45,28.25
cloud,20.95,22.58
club,13.95,15.36
coach,43.45,45.77
codes,43.45,45.77
coffee,26.45,28.25
college,52.45,55.05
community,26.45,28.25
company,14.95,16.39
computer,26.45,28.25
condos,42.95,45.26
construction,26.45,28.25
consulting,28.45,30.31
contractors,26.45,28.25
cooking,23.45,25.15
cool,26.45,28.25
country,23.45,25.15
coupons,42.95,45.26
courses,30.45,32.37
credit,75.45,78.76
creditcard,112.95,117.42
cricket,55.95,58.66
cruises,42.95,45.26
cymru,15.95,17.42
dance,19.95,21.55
date,23.95,25.67
dating,43.45,45.77
day,12.95,14.33
deals,27.95,29.79
degree,38.95,41.13
delivery,43.45,45.77
democrat,26.45,28.25
dental,43.45,45.77
dentist,43.45,45.77
desi,14.45,15.88
design,42.95,45.26
dev,17.95,19.48
diamonds,43.45,45.77
diet,135.45,140.62
digital,28.45,30.31
direct,36.45,38.56
directory,17.45,18.97
discount,26.45,28.25
doctor,79.95,83.40
dog,43.45,45.77
domains,26.45,28.25
download,23.45,25.15
earth,18.45,20.00
education,19.45,21.03
email,19.45,21.03
energy,75.45,78.76
engineer,26.45,28.25
engineering,43.45,45.77
enterprises,26.45,28.25
equipment,17.45,18.97
estate,26.45,28.25
eus,72.95,76.19
events,26.45,28.25
exchange,26.45,28.25
expert,43.45,45.77
exposed,17.45,18.97
express,26.45,28.25
fail,26.45,28.25
faith,23.45,25.15
family,21.45,23.09
fans,14.95,16.39
farm,26.45,28.25
fashion,23.45,25.15
film,73.45,76.70
finance,43.45,45.77
financial,43.45,45.77
fish,26.45,28.25
fishing,23.45,25.15
fit,23.45,25.15
fitness,26.45,28.25
flights,43.45,45.77
florist,26.45,28.25
flowers,133.95,139.07
football,17.45,18.97
forsale,26.45,28.25
foundation,26.45,28.25
fun,18.95,20.52
fund,42.95,45.26
furniture,44.45,46.80
futbol,11.95,13.30
fyi,17.45,18.97
gal,72.95,76.19
gallery,17.45,18.97
games,18.95,20.52
garden,23.95,25.67
gay,29.95,31.86
gift,23.45,25.15
gifts,26.45,28.25
gives,26.45,28.25
glass,43.45,45.77
global,57.45,60.21
gmbh,26.45,28.25
gold,75.45,78.76
golf,43.45,45.77
graphics,17.45,18.97
gratis,17.45,18.97
green,55.95,58.66
gripe,26.45,28.25
group,15.95,17.42
guide,26.45,28.25
guitars,135.95,141.13
guru,28.45,30.31
hair,17.95,19.48
hamburg,69.95,73.09
haus,26.45,28.25
healthcare,43.45,45.77
help,26.45,28.25
hiphop,132.95,138.04
hockey,43.45,45.77
holdings,42.95,45.26
holiday,43.45,45.77
horse,23.45,25.15
hospital,42.95,45.26
host,76.95,80.31
hosting,380.95,393.71
house,26.45,28.25
how,23.45,25.15
immo,26.45,28.25
immobilien,26.45,28.25
inc,2195.00,2263.87
industries,26.45,28.25
ink,30.45,32.37
institute,17.45,18.97
insure,43.45,45.77
international,19.45,21.03
investments,75.45,78.76
irish,19.95,21.55
jetzt,17.45,18.97
jewelry,43.45,45.77
juegos,359.95,372.06
kaufen,26.45,28.25
kim,16.45,17.94
kitchen,43.45,45.77
kiwi,31.95,33.92
land,26.45,28.25
law,85.45,89.07
lawyer,43.45,45.77
lease,42.95,45.26
legal,43.45,45.77
lgbt,40.45,42.68
life,25.95,27.73
lighting,17.45,18.97
limited,26.45,28.25
limo,43.95,46.29
link,11.45,12.78
live,21.45,23.09
loan,23.45,25.15
loans,75.45,78.76
lol,23.45,25.15
london,46.95,49.38
love,23.45,25.15
ltd,19.45,21.03
ltda,36.45,38.56
luxury,32.95,34.95
maison,43.45,45.77
makeup,17.95,19.48
management,17.45,18.97
market,25.95,27.73
marketing,26.45,28.25
mba,26.45,28.25
media,28.45,30.31
melbourne,52.95,55.57
memorial,43.45,45.77
men,23.45,25.15
menu,28.95,30.82
miami,19.95,21.55
moda,26.45,28.25
moe,15.45,16.91
mom,29.95,31.86
money,26.45,28.25
monster,13.95,15.36
mortgage,38.95,41.13
movie,225.95,233.92
nagoya,16.95,18.45
navy,26.45,28.25
network,19.45,21.03
news,21.45,23.09
onl,13.45,14.85
online,29.95,31.86
ooo,25.95,27.73
osaka,33.45,35.46
page,11.95,13.30
paris,53.95,56.60
partners,43.45,45.77
parts,26.45,28.25
party,23.45,25.15
pet,17.95,19.48
photo,23.45,25.15
photography,19.45,21.03
photos,17.45,18.97
physio,69.45,72.58
pics,26.45,28.25
pictures,9.95,11.24
pink,16.95,18.45
pizza,43.95,46.29
place,23.45,25.15
plumbing,43.45,45.77
plus,26.45,28.25
poker,49.45,51.96
porn,85.95,89.59
press,57.95,60.72
productions,26.45,28.25
promo,17.95,19.48
properties,26.45,28.25
property,135.95,141.13
protection,2359.95,2433.92
pub,26.45,28.25
qpon,13.45,14.85
quebec,32.95,34.95
quest,17.95,19.48
racing,23.45,25.15
recipes,42.95,45.26
red,17.95,19.48
rehab,26.45,28.25
reise,75.45,78.76
reisen,17.45,18.97
rent,52.45,55.05
rentals,26.45,28.25
repair,26.45,28.25
report,17.45,18.97
republican,26.45,28.25
rest,28.95,30.82
restaurant,43.45,45.77
review,23.95,25.67
reviews,19.95,21.55
rich,1929.95,1990.62
rip,15.95,17.42
rocks,12.95,14.33
rodeo,15.45,16.91
run,17.95,19.48
ryukyu,15.95,17.42
sale,26.45,28.25
salon,43.95,46.29
sarl,26.45,28.25
school,26.45,28.25
schule,17.45,18.97
science,23.45,25.15
scot,49.95,52.47
security,2359.95,2433.92
services,25.95,27.73
sex,83.95,87.53
sexy,3250.45,3351.96
shiksha,17.95,19.48
shoes,43.45,45.77
shop,29.45,31.34
shopping,25.95,27.73
show,26.45,28.25
singles,25.95,27.73
site,24.95,26.70
ski,42.45,44.74
skin,16.95,18.45
soccer,17.45,18.97
social,26.45,28.25
software,26.45,28.25
solar,43.45,45.77
solutions,19.45,21.03
soy,21.45,23.09
space,18.95,20.52
srl,32.45,34.43
store,49.95,52.47
stream,23.45,25.15
studio,21.45,23.09
study,24.45,26.19
style,26.45,28.25
sucks,250.95,259.69
supplies,17.45,18.97
supply,17.45,18.97
support,19.45,21.03
surf,23.45,25.15
surgery,43.45,45.77
sydney,51.95,54.54
systems,19.45,21.03
tattoo,46.45,48.87
tax,43.45,45.77
taxi,43.45,45.77
team,26.45,28.25
tech,41.95,44.23
technology,19.45,21.03
tennis,43.45,45.77
theater,43.45,45.77
theatre,559.95,578.25
tienda,43.45,45.77
tips,19.45,21.03
tires,75.45,78.76
today,19.45,21.03
tokyo,14.45,15.88
tools,26.45,28.25
top,7.95,9.18
tours,43.45,45.77
town,26.45,28.25
toys,43.45,45.77
trade,23.45,25.15
training,26.45,28.25
tube,24.45,26.19
university,43.45,45.77
uno,18.95,20.52
vacations,26.45,28.25
vegas,55.95,58.66
ventures,43.45,45.77
vet,26.45,28.25
viajes,42.95,45.26
video,21.45,23.09
villas,43.45,45.77
vin,43.45,45.77
vip,19.95,21.55
vision,26.45,28.25
vodka,23.45,25.15
vote,57.45,60.21
voting,1120.45,1156.08
voto,55.95,58.66
voyage,43.45,45.77
wales,15.95,17.42
watch,26.45,28.25
webcam,23.45,25.15
website,18.45,20.00
wedding,23.45,25.15
wiki,30.45,32.37
win,23.00,24.69
wine,43.45,45.77
work,9.85,11.13
works,26.45,28.25
world,25.95,27.73
wtf,26.45,28.25
xyz,13.95,15.36
co,28.00,29.85